customer_id,first_name,last_name,email,phone,city,country,signup_date,membership_type,birth_date
1,Cynthia,Baker,cynthia.baker72@yahoo.com,0701640052,Evanmouth,U.S.A.,10-07-2024,regular,03 Sep 1983
2,Ronald,  Smith,ronald.smith454@outlook.com,0728059826,North Kyle,United Arab Emirates,2022/11/14,None,none
3,LAURA,Valencia,laura.valencia297@hotmail.com,0733158692,Port Francisco,U.K.,2026-03-02,silver ,1998-07-25
4,GREGORY,Gutierrez,gregory.gutierrez297@gmail.com,0756342160,Walkermouth,United Arab Emirates,2023-04-16,silver ,07/20/1971
5,Lori,Savage,lori.savage79@gmail.com,+962 7 365 4145,Frazierside,JORDAN,06/18/2023,Gold,-
6,Anthony,Wiley,anthony.wiley579@hotmail.com,(079) 4019655,Obrienhaven,UAE,13-08-2023,Silver,N/A
7,Rachel,Lee,rachel.lee474@gmail.com,(+96) 2-7-608-8356,Lake Samanthamouth,EGYPT,2022-09-30,GOLD,1990-05-17
8,David,Mccullough,david.mccullough163@hotmail.com,0765648236,Byrdburgh,Jordan,06-08-2024,Silver,03/07/1987
9,Kevin,Kelley,kevin.kelley597@yahoo.com,+962-7-436-9957,Ramosborough,Saudi Arabia,28-07-2022,silver ,29-03-1981
10,Laura,Moyer,N/A,(071) 4895134,Port James,KSA,2025-07-07,regular,1952-01-14
11,John,Alvarez,john.alvarez633@yahoo.com,0717693676,East Diana,uae,2025-12-20,silver ,1950/11/26
12,Karen,Carrillo,karen.carrillo317@outlook.com,+962-7-632-8708,Port David,Hashemite Kingdom of Jordan,"December 30, 2022",silver ,28 Jul 1958
13,Steven  ,Schmidt,steven.schmidt729@gmail.com,0757986872,Colebury,U.A.E.,21 Oct 2024,None,2000-12-17
14,Joshua,STRICKLAND,joshua.strickland102@hotmail.com,0734714345,Patricialand,Hashemite Kingdom of Jordan,04/07/2024,Regular,1958-11-15
15,Jesse,  Benson,jesse.benson309@gmail.com ,(+96) 2-7-166-5876,east marissafurt,Egypt,2025/05/25,Gold,2004-11-10
16,Brandy,Dominguez  ,brandy.dominguez520@gmail.com,+962-7-967-0546,Medinaside,jordan,12/30/2025,Silver,1998/07/25
17,Rachael,Freeman,rachael.freeman702@outlook.com,NULL,SOUTH BRITTANYTOWN,Jordan,30-08-2023,regular,10 Aug 1955
18,Roy,Camacho,roy.camacho887@hotmail.com,(074) 6537556,Karenchester,JORDAN,19/04/2023,None,15 Sep 1965
19,Christopher  ,Smith,christopher.smith329@gmail.com,0753100330,East David,EGYPT,23/09/2024,Regular,27-09-1990
20,Anne,Robinson,anne.robinson526@yahoo.com,,New Anthonyport,jordan,14-05-2025,silver ,1985-02-12
21,Rebecca,Brooks,rebecca.brooks543@hotmail.com,0731931491,West Amandastad,Saudi Arabia,03-05-2026,regular,09/16/1954
22,Deborah,Smith,deborah.smith463@yahoo.com,0771657262,Christinaside,jordan,2024/04/01,Silver,18-01-1997
23,Steven,Petersen,steven.petersen521@yahoo.com,NaN,Rogersfort,EGYPT,09 Dec 2024,Gold,none
24,Hunter,Lewis,hunter.lewis76@yahoo.com,0754948083,East Jenniferfort,United Kingdom,05 Oct 2025,Gold,
25,John,Alvarez,john.alvarez971@hotmail.com,+962-7-701-4363,Elizabethstad,UAE,"June 02, 2025",Gold,"December 19, 1978"
26,Alyssa,Coleman,alyssa.coleman846@gmail.com,+962 7 557 4443,Lake Jamesville,Saudi Arabia,21/07/2025,regular,22-02-1995
27,Stephanie,VAUGHN,stephanie.vaughn496@outlook.com,0774989413,Jeremyburgh,EGYPT,05/03/2023,GOLD,1968-09-15
28,Jean,MARTINEZ,jean.martinez631@outlook.com,0708427109,Taylormouth,uae,02/10/2022,regular,1971-01-05
29,Tammy,King  ,,0711671902,Port Anna,United Arab Emirates,2026-01-06,NaN,10/19/1968
30,Victoria,Wilson,victoria.wilson639@gmail.com,0799938677,Michellechester,JORDAN,08/17/2025,silver ,-
31,Christine,Lynch,christine.lynch336@hotmail.com,+96273341232,East Aaronmouth,Hashemite Kingdom of Jordan,2025/07/13,regular,1991-12-07
32,Terry,Johnson,terry.johnson705@gmail.com,+962-7-471-3493,Wilsonbury,Saudi Arabia,"September 21, 2023",None,1989/06/05
33,Rebekah,Serrano,rebekah.serrano718@gmail.com,0724994717,Hollyview,Kingdom of Saudi Arabia,09 Nov 2022,Regular,"August 06, 1980"
34,Troy,Miller,troy.miller935@hotmail.com,+962-7-659-4013,Port Emilyview,Hashemite Kingdom of Jordan,09/24/2022,Platinum,22-02-1985
35,Kathryn,Thompson,kathryn.thompson325@outlook.com,+962-7-742-9671,Baileymouth,uk,24 Aug 2024,GOLD,
36,Daniel,Martin,daniel.martin491@yahoo.com,+962-7-746-8071,Johnnyville,JO,03/20/2024,NaN,10/12/2008
37,Richard,Robertson,richard.robertson6@yahoo.com,+962 7 876 0385,Garrettton,jordan,2026/07/10,Regular,1962-10-13
38,Andrea,Pennington,none,+96277109324,new rickybury,Jordan,28-04-2024,regular,2010/02/08
39,Robin,Murray,robin.murray116@hotmail.com,0727484677,South Andrea,U.A.E.,01/15/2023,silver ,"August 02, 1973"
40,Sandra,Romero  ,sandra.romero458@hotmail.com,+96271465840,JESSICASHIRE,jordan,02/01/2026,silver ,1985/05/14
41,Donna,Grimes,donna.grimes981@yahoo.com,(+96) 2-7-755-8867,Mollybury,KSA,10 May 2024,Platinum,"November 16, 1984"
42,Jesus,rowe  ,jesus.rowe518@yahoo.com,0776627028,Mollymouth,JO,29/09/2022,Silver,21/07/1956
43,Renee,smith,renee.smith741@gmail.com,N/A,Port Markside,UAE,2023-02-23,none,05/15/1973
44,Levi,Higgins,levi.higgins392@outlook.com,0780913431,Goodville,saudi arabia,2025-08-10,Gold,11/03/1977
45,  Heather,Berger,heather.berger558@outlook.com,0704556238,Knightburgh,Saudi Arabia,2022-10-03,silver ,1960-10-08
46,Christian,Pitts,christian.pitts251@gmail.com,NaN,Elizabethmouth,JORDAN,18 Jan 2025,GOLD,23 Aug 2004
47, Erica ,Moore,erica.moore63@yahoo.com,0759464743,Castanedaville,JO,03-05-2024,silver ,20-10-1964
48,Ashley,Andrews,ashley.andrews826@outlook.com,+962-7-406-4090,Wallport,KSA,17-07-2026,Silver,11 Feb 1997
49,Jerry  ,  Pham,jerry.pham824@yahoo.com,NULL,New Michaelberg,UAE,2023/06/12,None,1955/12/24
50,Kenneth,Burgess,kenneth.burgess547@hotmail.com,(+96) 2-7-285-8842,Robinfort,JORDAN,10-04-2023,GOLD,"August 12, 2008"
51,kenneth,Harrell,kenneth.harrell201@hotmail.com,0771236851,Smithside,Kingdom of Saudi Arabia,2025/10/14,None,1957/12/26
52,Miguel,Curry,miguel.curry658@gmail.com,,Rosebury,JORDAN,2023-08-15,NaN,06/06/1989
53,Cynthia,Marshall,invalid_email,(+96) 2-7-612-0047,North Jimmyside,UAE,2025-05-17,Gold,"September 17, 1958"
54,Shawn,Santiago,shawn.santiago579@yahoo.com,+962-7-869-2617,Crosbyview,Egypt,2025-07-17,silver ,"July 13, 1952"
55, Mitchell ,Ramos,mitchell.ramos879@gmail.com,0751585064,North Stacy,United Arab Emirates,2026-05-16,Silver,09-01-2000
56,Christopher,Lewis,christopher.lewis771@outlook.com,+962-7-005-3293,Port Kathyborough,United Arab Emirates,16/02/2025,Gold,1985/10/02
57,Lisa  ,Hall,lisa.hall788@outlook.com,+962-7-904-2284,North Donna,uae,01/09/2025,Gold,1952/02/12
58,Alexis,TYLER,alexis.tyler803@yahoo.com,0750240268,Lake Brycemouth,Saudi Arabia,07/10/2023,Silver,02/04/1997
59,William  ,Rodriguez,william.rodriguez885@outlook.com ,0790847007,Simmonsville,U.A.E.,2024/08/02,silver ,27-12-1979
60,renee,  Jones,renee.jones253@outlook.com,(079) 2124998,Oscarhaven,United Arab Emirates,23/11/2022,GOLD,06 Apr 1968
61,William,Jordan,william.jordan322@yahoo.com,0718367365,Rossville,United Kingdom,28-09-2025,silver ,28 Apr 1969
62,Larry,Scott,larry.scott564@gmail.com,+96277111161,Lisaside,Hashemite Kingdom of Jordan,2026/05/21,None,03-03-1954
63,Sue,Hoffman,sue.hoffman411@outlook.com,0765604945,New Williamberg,Saudi Arabia,2025-04-01,Platinum,22-12-1989
64,Jeffrey,Rodriguez,jeffrey.rodriguez340@outlook.com,0751493689,New Sarahview,U.A.E.,14/12/2025,GOLD,22 Apr 1952
65,Joshua,Farmer,joshua.farmer943@gmail.com,(075) 0229612,North Julieborough,saudi arabia,04/04/2026,Silver,1973/02/21
66,Shawn  ,Moore,shawn.moore953@yahoo.com,(075) 9910229,Lake Christophermouth,JORDAN,10/26/2023,silver ,1990/04/15
67,Todd,Ramos,todd.ramos771@gmail.com,+962 7 815 6149,Roseport,Hashemite Kingdom of Jordan,"August 31, 2023",GOLD,"April 18, 1953"
68,Randall,Greene,randall.greene820@hotmail.com,+962 7 432 4451,South Julieburgh,JORDAN,"August 08, 2022",silver ,04/28/1958
69,Amanda,Hall,amanda.hall178@yahoo.com,0751606071,Barbarashire,Hashemite Kingdom of Jordan,10/21/2024,Platinum,"November 01, 1974"
70,Danielle,Roberts,danielle.roberts85@gmail.com,0752975161,South Brianna,uae,"March 10, 2024",Silver,03-01-1982
